Sample,Z
456,0.4691
457,0.4691
458,0.4694
459,0.4687
460,0.4689
461,0.4675
462,0.4687
463,0.4679
464,0.4691
465,0.4692
466,0.4686
467,0.4687
468,0.4673
469,0.4664
470,0.4649
471,0.4620
472,0.4587
473,0.4542
474,0.4487
475,0.4458
476,0.4421
477,0.4385
478,0.4353
479,0.4323
480,0.4295
481,0.4261
482,0.4223
483,0.4185
484,0.4146
485,0.4094
486,0.4050
487,0.4004
488,0.3956
489,0.3912
490,0.3867
491,0.3823
492,0.3786
493,0.3750
494,0.3718
495,0.3696
496,0.3671
497,0.3640
498,0.3629
499,0.3617
500,0.3599
501,0.3579
502,0.3560
503,0.3540
504,0.3520
505,0.3490
506,0.3463
507,0.3427
508,0.3396
509,0.3366
510,0.3335
511,0.3308
512,0.3286
513,0.3253
514,0.3232
515,0.3214
516,0.3204
517,0.3188
518,0.3171
519,0.3168
520,0.3150
521,0.3134
522,0.3126
523,0.3107
524,0.3090
525,0.3068
526,0.3052
527,0.3031
528,0.3007
529,0.2982
530,0.2967
531,0.2954
532,0.2935
533,0.2915
534,0.2897
535,0.2889
536,0.2877
537,0.2868
538,0.2854
539,0.2847
540,0.2838
541,0.2819
542,0.2818
543,0.2803
544,0.2787
545,0.2779
546,0.2760
547,0.2742
548,0.2736
549,0.2722
550,0.2715
551,0.2700
552,0.2686
553,0.2680
554,0.2679
555,0.2671
556,0.2666
557,0.2664
558,0.2670
559,0.2662
560,0.2662
561,0.2662
562,0.2662
563,0.2662
564,0.2664
565,0.2662
566,0.2660
567,0.2658
568,0.2650
569,0.2656
570,0.2646
571,0.2646
572,0.2648
573,0.2643
574,0.2647
575,0.2652
576,0.2654
577,0.2659
578,0.2662
579,0.2674
580,0.2681
581,0.2683
582,0.2701
583,0.2702
584,0.2701
585,0.2705
586,0.2717
587,0.2720
588,0.2720
589,0.2720
590,0.2723
591,0.2739
592,0.2752
593,0.2778
594,0.2797
595,0.2819
596,0.2834
597,0.2854
598,0.2869
599,0.2890
600,0.2901
601,0.2921
602,0.2932
603,0.2950
604,0.2955
605,0.2969
606,0.2975
607,0.2988
608,0.2996
609,0.3013
610,0.3023
611,0.3042
612,0.3057
613,0.3085
614,0.3109
615,0.3130
616,0.3150
617,0.3174
618,0.3209
619,0.3241
