Sample,Z
0,0.4700
1,0.4714
2,0.4703
3,0.4713
4,0.4705
5,0.4713
6,0.4713
7,0.4700
8,0.4705
9,0.4712
10,0.4711
11,0.4711
12,0.4705
13,0.4713
14,0.4702
15,0.4702
16,0.4703
17,0.4713
18,0.4712
19,0.4713
20,0.4699
21,0.4713
22,0.4712
23,0.4704
24,0.4712
25,0.4712
26,0.4712
27,0.4712
28,0.4713
29,0.4713
30,0.4702
31,0.4704
32,0.4713
33,0.4711
34,0.4708
35,0.4713
36,0.4713
37,0.4712
38,0.4703
39,0.4714
40,0.4703
41,0.4712
42,0.4712
43,0.4712
44,0.4705
45,0.4713
46,0.4713
47,0.4702
48,0.4702
49,0.4700
50,0.4713
51,0.4702
52,0.4712
53,0.4714
54,0.4698
55,0.4703
56,0.4713
57,0.4713
58,0.4712
59,0.4713
60,0.4712
61,0.4712
62,0.4712
63,0.4713
64,0.4713
65,0.4712
66,0.4713
67,0.4712
68,0.4709
69,0.4711
70,0.4712
71,0.4713
72,0.4711
73,0.4713
74,0.4712
75,0.4711
76,0.4713
77,0.4703
78,0.4714
79,0.4711
80,0.4712
81,0.4713
82,0.4712
83,0.4714
84,0.4713
85,0.4714
86,0.4711
87,0.4711
88,0.4713
89,0.4711
90,0.4713
91,0.4714
92,0.4713
93,0.4711
94,0.4711
95,0.4713
96,0.4712
97,0.4712
98,0.4712
99,0.4712
100,0.4713
101,0.4711
102,0.4712
103,0.4711
104,0.4713
105,0.4712
106,0.4700
107,0.4695
108,0.4698
109,0.4696
110,0.4692
111,0.4675
112,0.4673
113,0.4659
114,0.4656
115,0.4654
116,0.4670
117,0.4673
118,0.4692
119,0.4698
120,0.4719
121,0.4731
122,0.4750
123,0.4756
124,0.4770
125,0.4770
126,0.4753
127,0.4752
128,0.4739
129,0.4728
130,0.4712
131,0.4686
132,0.4675
133,0.4656
134,0.4636
135,0.4653
136,0.4654
137,0.4672
138,0.4678
139,0.4694
140,0.4713
141,0.4724
142,0.4732
143,0.4737
144,0.4736
145,0.4739
146,0.4734
147,0.4731
148,0.4724
149,0.4720
150,0.4713
151,0.4706
152,0.4697
153,0.4694
154,0.4697
155,0.4694
156,0.4688
157,0.4694
158,0.4694
159,0.4697
160,0.4698
161,0.4694
162,0.4702
163,0.4708
164,0.4705
165,0.4712
166,0.4712
167,0.4713
168,0.4715
169,0.4713
170,0.4722
171,0.4723
172,0.4729
173,0.4730
174,0.4722
175,0.4713
176,0.4700
177,0.4697
178,0.4693
179,0.4685
180,0.4677
181,0.4677
182,0.4676
183,0.4680
184,0.4681
185,0.4694
186,0.4700
187,0.4713
188,0.4724
189,0.4725
190,0.4736
191,0.4744
192,0.4750
193,0.4745
194,0.4734
195,0.4731
196,0.4720
197,0.4712
198,0.4697
199,0.4689
200,0.4675
201,0.4671
202,0.4659
203,0.4655
204,0.4656
205,0.4669
206,0.4675
207,0.4689
208,0.4694
209,0.4712
210,0.4717
211,0.4714
212,0.4732
213,0.4735
