Sample,Z
456,0.4707
457,0.4701
458,0.4686
459,0.4647
460,0.4619
461,0.4578
462,0.4535
463,0.4481
464,0.4438
465,0.4396
466,0.4347
467,0.4312
468,0.4275
469,0.4244
470,0.4209
471,0.4184
472,0.4160
473,0.4131
474,0.4113
475,0.4089
476,0.4066
477,0.4034
478,0.4009
479,0.3980
480,0.3950
481,0.3914
482,0.3877
483,0.3851
484,0.3815
485,0.3771
486,0.3735
487,0.3701
488,0.3660
489,0.3632
490,0.3599
491,0.3558
492,0.3524
493,0.3489
494,0.3463
495,0.3428
496,0.3400
497,0.3380
498,0.3361
499,0.3340
500,0.3324
501,0.3311
502,0.3301
503,0.3289
504,0.3286
505,0.3271
506,0.3266
507,0.3248
508,0.3243
509,0.3228
510,0.3211
511,0.3197
512,0.3185
513,0.3157
514,0.3133
515,0.3110
516,0.3079
517,0.3057
518,0.3033
519,0.3015
520,0.2999
521,0.2988
522,0.2975
523,0.2970
524,0.2966
525,0.2954
526,0.2955
527,0.2954
528,0.2955
529,0.2946
530,0.2950
531,0.2944
532,0.2938
533,0.2936
534,0.2935
535,0.2935
536,0.2928
537,0.2921
538,0.2916
539,0.2910
540,0.2900
541,0.2896
542,0.2879
543,0.2877
544,0.2860
545,0.2856
546,0.2855
547,0.2840
548,0.2833
549,0.2821
550,0.2816
551,0.2803
552,0.2802
553,0.2793
554,0.2796
555,0.2792
556,0.2783
557,0.2797
558,0.2793
559,0.2795
560,0.2797
561,0.2800
562,0.2805
563,0.2811
564,0.2817
565,0.2817
566,0.2819
567,0.2820
568,0.2819
569,0.2822
570,0.2819
571,0.2818
572,0.2820
573,0.2818
574,0.2818
575,0.2817
576,0.2815
577,0.2816
578,0.2816
579,0.2808
580,0.2817
581,0.2811
582,0.2817
583,0.2819
584,0.2820
585,0.2828
586,0.2838
587,0.2844
588,0.2857
589,0.2857
590,0.2863
591,0.2874
592,0.2877
593,0.2883
594,0.2896
595,0.2896
596,0.2899
597,0.2902
598,0.2914
599,0.2915
600,0.2918
601,0.2933
602,0.2935
603,0.2935
604,0.2936
605,0.2941
606,0.2952
607,0.2953
608,0.2955
609,0.2993
610,0.3013
611,0.3037
612,0.3071
613,0.3091
614,0.3121
615,0.3135
616,0.3162
617,0.3179
618,0.3210
619,0.3237
620,0.3259
621,0.3287
622,0.3306
623,0.3326
624,0.3345
625,0.3364
626,0.3380
627,0.3399
628,0.3417
629,0.3432
630,0.3463
631,0.3478
632,0.3509
633,0.3541
634,0.3579
635,0.3614
636,0.3652
637,0.3695
638,0.3732
639,0.3774
640,0.3812
641,0.3851
642,0.3875
643,0.3912
644,0.3949
645,0.3979
646,0.4011
647,0.4048
648,0.4086
649,0.4127
650,0.4170
651,0.4221
652,0.4264
653,0.4312
654,0.4365
655,0.4420
656,0.4464
657,0.4517
658,0.4569
659,0.4601
660,0.4630
661,0.4643
662,0.4654
663,0.4655
664,0.4669
665,0.4671
666,0.4674
667,0.4678
668,0.4688
669,0.4694
670,0.4700
671,0.4711
672,0.4714
673,0.4718
674,0.4719
675,0.4714
676,0.4731
677,0.4732
678,0.4721
679,0.4730
680,0.4727
681,0.4717
682,0.4707
683,0.4711
684,0.4698
685,0.4697
686,0.4694
687,0.4684
688,0.4690
689,0.4688
690,0.4688
691,0.4692
692,0.4691
693,0.4692
694,0.4695
695,0.4700
696,0.4705
697,0.4711
698,0.4713
699,0.4712
700,0.4713
701,0.4719
702,0.4714
703,0.4719
704,0.4717
705,0.4722
706,0.4712
707,0.4718
708,0.4717
709,0.4710
710,0.4713
711,0.4713
712,0.4713
713,0.4711
714,0.4702
715,0.4698
716,0.4694
717,0.4694
718,0.4694
719,0.4692
720,0.4692
721,0.4693
722,0.4692
723,0.4694
