Sample,Z
0,0.4695
1,0.4697
2,0.4693
3,0.4692
4,0.4674
5,0.4701
6,0.4700
7,0.4697
8,0.4696
9,0.4696
10,0.4692
11,0.4694
12,0.4697
13,0.4697
14,0.4696
15,0.4692
16,0.4694
17,0.4696
18,0.4693
19,0.4695
20,0.4694
21,0.4693
22,0.4696
23,0.4697
24,0.4696
25,0.4693
26,0.4695
27,0.4695
28,0.4696
29,0.4694
30,0.4695
31,0.4692
32,0.4697
33,0.4692
34,0.4695
35,0.4697
36,0.4695
37,0.4699
38,0.4695
39,0.4695
40,0.4698
41,0.4692
42,0.4699
43,0.4694
44,0.4694
45,0.4694
46,0.4698
47,0.4697
48,0.4699
49,0.4697
50,0.4700
51,0.4694
52,0.4695
53,0.4693
54,0.4695
55,0.4694
56,0.4694
57,0.4692
58,0.4693
59,0.4696
60,0.4697
61,0.4698
62,0.4695
63,0.4697
64,0.4695
65,0.4694
66,0.4697
67,0.4696
68,0.4696
69,0.4697
70,0.4697
71,0.4695
72,0.4694
73,0.4698
74,0.4697
75,0.4695
76,0.4695
77,0.4694
78,0.4695
79,0.4698
80,0.4696
81,0.4694
82,0.4695
83,0.4696
84,0.4697
85,0.4695
86,0.4697
87,0.4695
88,0.4693
89,0.4698
90,0.4697
91,0.4695
92,0.4698
93,0.4695
94,0.4676
95,0.4696
96,0.4696
97,0.4696
98,0.4694
99,0.4694
100,0.4696
101,0.4696
102,0.4694
103,0.4695
104,0.4697
105,0.4695
106,0.4694
107,0.4697
108,0.4696
109,0.4699
110,0.4694
111,0.4694
112,0.4695
113,0.4693
114,0.4694
115,0.4696
116,0.4693
117,0.4696
118,0.4695
119,0.4693
120,0.4694
121,0.4695
122,0.4697
123,0.4694
124,0.4697
125,0.4694
126,0.4694
127,0.4694
128,0.4695
129,0.4695
130,0.4694
131,0.4694
132,0.4695
133,0.4695
134,0.4696
135,0.4695
136,0.4695
137,0.4694
138,0.4694
139,0.4695
140,0.4694
141,0.4694
142,0.4695
143,0.4693
144,0.4693
145,0.4695
146,0.4693
147,0.4676
148,0.4695
149,0.4697
150,0.4694
151,0.4694
152,0.4694
153,0.4695
154,0.4694
155,0.4695
156,0.4693
157,0.4694
158,0.4694
159,0.4695
160,0.4694
161,0.4693
162,0.4695
163,0.4694
164,0.4693
165,0.4694
166,0.4694
167,0.4677
168,0.4695
169,0.4694
170,0.4695
171,0.4695
172,0.4694
173,0.4695
174,0.4694
175,0.4694
176,0.4695
177,0.4692
178,0.4694
179,0.4696
180,0.4693
181,0.4695
182,0.4694
183,0.4694
184,0.4695
185,0.4692
186,0.4697
187,0.4695
188,0.4692
189,0.4697
190,0.4691
191,0.4695
192,0.4694
193,0.4698
194,0.4694
195,0.4695
196,0.4694
197,0.4696
198,0.4695
199,0.4694
200,0.4700
201,0.4695
202,0.4695
203,0.4693
204,0.4695
205,0.4694
206,0.4697
207,0.4694
208,0.4698
209,0.4697
210,0.4695
211,0.4694
212,0.4694
213,0.4693
214,0.4693
215,0.4693
216,0.4694
217,0.4698
218,0.4695
219,0.4695
220,0.4693
221,0.4698
222,0.4691
223,0.4695
224,0.4695
225,0.4697
226,0.4695
227,0.4697
228,0.4694
229,0.4695
230,0.4695
231,0.4697
232,0.4695
233,0.4694
234,0.4695
235,0.4695
236,0.4695
237,0.4693
238,0.4696
239,0.4692
240,0.4695
241,0.4694
242,0.4692
243,0.4696
244,0.4695
245,0.4697
246,0.4697
247,0.4696
248,0.4695
249,0.4694
250,0.4694
251,0.4695
252,0.4697
253,0.4696
254,0.4697
255,0.4695
256,0.4695
257,0.4694
258,0.4696
259,0.4695
260,0.4695
261,0.4693
262,0.4674
263,0.4696
264,0.4697
265,0.4692
266,0.4695
267,0.4694
268,0.4697
269,0.4695
270,0.4697
271,0.4695
272,0.4697
273,0.4694
274,0.4697
275,0.4694
276,0.4692
277,0.4697
278,0.4695
279,0.4696
280,0.4694
281,0.4696
282,0.4692
283,0.4694
284,0.4692
285,0.4694
286,0.4694
287,0.4697
288,0.4694
289,0.4696
290,0.4693
291,0.4696
292,0.4696
293,0.4696
294,0.4696
295,0.4695
296,0.4698
297,0.4694
298,0.4693
299,0.4695
300,0.4697
301,0.4695
302,0.4696
303,0.4694
304,0.4698
305,0.4697
306,0.4693
307,0.4698
308,0.4695
309,0.4694
310,0.4695
311,0.4694
312,0.4695
313,0.4694
314,0.4693
315,0.4696
316,0.4695
317,0.4695
318,0.4695
319,0.4695
320,0.4696
321,0.4694
322,0.4697
323,0.4695
324,0.4696
325,0.4696
326,0.4696
327,0.4694
328,0.4695
329,0.4695
330,0.4698
331,0.4698
332,0.4697
333,0.4697
334,0.4696
335,0.4698
336,0.4694
337,0.4694
338,0.4696
339,0.4694
340,0.4694
341,0.4696
342,0.4695
343,0.4694
344,0.4697
345,0.4695
346,0.4696
347,0.4694
348,0.4695
349,0.4695
350,0.4695
351,0.4695
352,0.4695
353,0.4694
354,0.4695
355,0.4694
356,0.4697
357,0.4695
358,0.4676
359,0.4697
360,0.4694
361,0.4695
362,0.4694
363,0.4694
364,0.4693
365,0.4696
366,0.4694
367,0.4692
368,0.4695
369,0.4693
370,0.4695
371,0.4695
372,0.4692
373,0.4692
374,0.4675
375,0.4694
376,0.4692
377,0.4695
378,0.4696
379,0.4694
380,0.4697
381,0.4694
382,0.4695
383,0.4695
384,0.4694
385,0.4695
386,0.4694
387,0.4694
388,0.4695
389,0.4694
390,0.4695
391,0.4695
392,0.4695
393,0.4696
394,0.4694
395,0.4695
396,0.4693
397,0.4694
398,0.4695
399,0.4695
400,0.4693
401,0.4693
402,0.4695
403,0.4694
404,0.4694
405,0.4698
406,0.4696
407,0.4696
408,0.4695
409,0.4698
410,0.4693
411,0.4695
412,0.4693
413,0.4694
414,0.4695
415,0.4694
416,0.4694
417,0.4695
418,0.4697
419,0.4695
420,0.4695
421,0.4698
422,0.4695
423,0.4692
424,0.4696
425,0.4694
426,0.4692
427,0.4694
428,0.4696
429,0.4695
430,0.4695
431,0.4693
432,0.4695
433,0.4694
434,0.4693
435,0.4694
436,0.4694
437,0.4695
438,0.4695
439,0.4694
440,0.4695
441,0.4695
442,0.4694
443,0.4694
444,0.4696
445,0.4694
446,0.4696
447,0.4696
448,0.4695
449,0.4695
450,0.4695
451,0.4695
452,0.4694
453,0.4694
454,0.4695
455,0.4695
456,0.4692
457,0.4694
458,0.4694
459,0.4693
460,0.4692
461,0.4693
462,0.4692
463,0.4692
464,0.4692
465,0.4688
466,0.4678
467,0.4676
468,0.4673
469,0.4670
470,0.4657
471,0.4655
472,0.4652
473,0.4647
474,0.4631
475,0.4634
476,0.4622
477,0.4615
478,0.4604
479,0.4583
480,0.4578
481,0.4557
482,0.4532
483,0.4503
484,0.4483
485,0.4457
486,0.4423
487,0.4385
488,0.4362
489,0.4319
490,0.4283
491,0.4246
492,0.4202
493,0.4159
494,0.4108
495,0.4070
496,0.4030
497,0.3979
498,0.3951
499,0.3912
500,0.3871
501,0.3835
502,0.3801
503,0.3763
504,0.3729
505,0.3694
506,0.3660
507,0.3627
508,0.3598
509,0.3561
510,0.3528
511,0.3503
512,0.3463
513,0.3435
514,0.3403
515,0.3367
516,0.3345
517,0.3307
518,0.3281
519,0.3257
520,0.3230
521,0.3207
522,0.3173
523,0.3152
524,0.3129
525,0.3102
526,0.3076
527,0.3069
528,0.3052
529,0.3030
530,0.3013
531,0.2997
532,0.2982
533,0.2975
534,0.2958
535,0.2944
536,0.2935
537,0.2916
538,0.2901
539,0.2891
540,0.2869
541,0.2859
542,0.2839
543,0.2828
544,0.2818
545,0.2802
546,0.2797
547,0.2788
548,0.2777
549,0.2772
550,0.2762
551,0.2757
552,0.2745
553,0.2740
554,0.2742
555,0.2733
556,0.2725
557,0.2721
558,0.2721
559,0.2714
560,0.2715
561,0.2706
562,0.2701
563,0.2700
564,0.2703
565,0.2700
566,0.2701
567,0.2699
568,0.2696
569,0.2698
570,0.2698
571,0.2698
572,0.2699
573,0.2700
574,0.2701
575,0.2700
576,0.2701
577,0.2715
578,0.2709
579,0.2720
580,0.2724
581,0.2729
582,0.2741
583,0.2746
584,0.2757
585,0.2759
586,0.2762
587,0.2778
588,0.2798
589,0.2798
590,0.2816
591,0.2821
592,0.2840
593,0.2851
594,0.2859
595,0.2877
596,0.2896
597,0.2913
598,0.2924
599,0.2939
600,0.2955
601,0.2969
602,0.2982
603,0.3002
604,0.3015
605,0.3029
606,0.3047
607,0.3059
608,0.3073
609,0.3091
610,0.3110
611,0.3126
612,0.3137
613,0.3156
614,0.3169
615,0.3189
616,0.3210
617,0.3238
618,0.3252
619,0.3284
620,0.3306
621,0.3334
622,0.3375
623,0.3414
624,0.3444
625,0.3477
626,0.3508
627,0.3542
628,0.3579
629,0.3619
630,0.3653
631,0.3696
632,0.3735
633,0.3777
634,0.3811
635,0.3838
636,0.3876
637,0.3912
638,0.3942
639,0.3972
640,0.4008
641,0.4030
642,0.4052
643,0.4088
644,0.4121
645,0.4147
646,0.4187
647,0.4224
648,0.4268
649,0.4304
650,0.4361
651,0.4417
652,0.4460
653,0.4523
654,0.4575
655,0.4611
656,0.4634
657,0.4644
658,0.4665
659,0.4673
660,0.4682
661,0.4688
662,0.4693
663,0.4693
664,0.4692
665,0.4693
666,0.4697
667,0.4695
668,0.4695
669,0.4698
670,0.4694
671,0.4696
672,0.4697
673,0.4697
674,0.4698
675,0.4695
676,0.4698
677,0.4694
678,0.4696
679,0.4694
680,0.4699
681,0.4693
682,0.4695
683,0.4695
684,0.4692
685,0.4697
686,0.4696
687,0.4697
688,0.4697
689,0.4692
690,0.4695
691,0.4694
692,0.4692
693,0.4698
694,0.4700
695,0.4698
696,0.4697
697,0.4698
698,0.4675
699,0.4696
700,0.4697
701,0.4696
702,0.4695
703,0.4693
704,0.4698
705,0.4695
706,0.4693
707,0.4694
708,0.4696
709,0.4694
710,0.4694
711,0.4697
712,0.4700
713,0.4697
714,0.4696
715,0.4697
716,0.4696
717,0.4697
718,0.4695
719,0.4695
720,0.4698
721,0.4697
722,0.4696
723,0.4696
724,0.4697
725,0.4697
726,0.4696
727,0.4698
728,0.4697
729,0.4696
730,0.4697
731,0.4698
732,0.4696
733,0.4695
734,0.4678
735,0.4695
736,0.4695
737,0.4697
738,0.4697
739,0.4698
740,0.4699
741,0.4693
742,0.4698
743,0.4677
744,0.4698
745,0.4698
746,0.4697
747,0.4699
748,0.4696
749,0.4703
750,0.4677
751,0.4697
752,0.4697
753,0.4694
754,0.4697
755,0.4694
756,0.4695
757,0.4694
758,0.4675
759,0.4697
760,0.4696
761,0.4697
762,0.4696
763,0.4692
764,0.4699
765,0.4696
766,0.4695
767,0.4695
768,0.4700
769,0.4697
770,0.4700
771,0.4702
772,0.4700
773,0.4697
774,0.4698
775,0.4693
776,0.4697
777,0.4696
778,0.4693
779,0.4701
780,0.4700
781,0.4695
782,0.4700
783,0.4694
784,0.4701
785,0.4698
786,0.4703
787,0.4700
788,0.4698
789,0.4698
790,0.4699
791,0.4694
792,0.4696
793,0.4697
794,0.4699
795,0.4695
796,0.4698
797,0.4694
798,0.4699
799,0.4698
800,0.4694
801,0.4698
802,0.4694
803,0.4702
804,0.4701
805,0.4694
806,0.4700
807,0.4699
808,0.4694
809,0.4697
810,0.4692
811,0.4699
812,0.4698
813,0.4699
814,0.4694
815,0.4698
816,0.4697
817,0.4698
818,0.4694
819,0.4698
820,0.4700
821,0.4694
822,0.4695
823,0.4701
824,0.4698
825,0.4699
826,0.4696
827,0.4702
828,0.4698
829,0.4698
830,0.4696
831,0.4695
832,0.4699
833,0.4694
834,0.4700
835,0.4698
836,0.4694
837,0.4699
838,0.4700
839,0.4702
840,0.4703
841,0.4698
842,0.4698
843,0.4680
844,0.4698
845,0.4702
846,0.4698
847,0.4697
848,0.4700
849,0.4695
850,0.4698
851,0.4697
852,0.4699
853,0.4698
854,0.4697
855,0.4698
856,0.4698
857,0.4697
858,0.4700
859,0.4698
860,0.4698
861,0.4699
862,0.4699
863,0.4698
864,0.4697
865,0.4699
866,0.4693
867,0.4700
868,0.4698
869,0.4702
870,0.4703
871,0.4697
872,0.4701
873,0.4700
874,0.4697
875,0.4701
876,0.4699
877,0.4694
878,0.4703
879,0.4701
880,0.4700
881,0.4697
882,0.4699
883,0.4700
884,0.4702
885,0.4696
886,0.4679
887,0.4699
888,0.4705
889,0.4705
890,0.4703
891,0.4698
892,0.4700
893,0.4700
894,0.4702
895,0.4701
896,0.4702
897,0.4707
898,0.4706
899,0.4702
Rate 0, overflows 0
