Sample,X,Y,Z
0,0.281,-0.035,0.809
1,0.312,-0.039,0.863
2,0.301,-0.035,0.875
3,0.289,-0.035,0.867
4,0.301,-0.035,0.863
5,0.305,-0.031,0.863
6,0.309,-0.035,0.867
7,0.305,-0.023,0.867
8,0.305,-0.031,0.859
9,0.309,-0.031,0.859
10,0.316,-0.035,0.863
11,0.301,-0.027,0.859
12,0.305,-0.031,0.852
13,0.301,-0.031,0.852
14,0.297,-0.027,0.852
15,0.297,-0.039,0.852
16,0.301,-0.035,0.855
17,0.297,-0.031,0.852
18,0.301,-0.035,0.855
19,0.301,-0.035,0.852
20,0.301,-0.031,0.848
21,0.305,-0.020,0.859
22,0.305,-0.020,0.883
23,0.309,-0.023,0.879
24,0.301,-0.012,0.871
25,0.301,-0.023,0.875
26,0.301,-0.008,0.887
27,0.309,-0.020,0.883
28,0.312,-0.023,0.895
29,0.309,-0.027,0.891
30,0.305,-0.008,0.895
31,0.305,-0.016,0.891
32,0.305,-0.031,0.883
33,0.305,-0.020,0.883
34,0.301,-0.027,0.883
35,0.316,-0.012,0.871
36,0.312,-0.016,0.867
37,0.309,-0.012,0.867
38,0.309,-0.016,0.879
39,0.309,-0.012,0.883
40,0.316,-0.016,0.875
41,0.312,-0.027,0.875
42,0.320,-0.016,0.883
43,0.301,-0.016,0.887
44,0.309,-0.027,0.887
45,0.305,-0.020,0.887
46,0.301,-0.031,0.883
47,0.305,-0.023,0.871
48,0.305,-0.020,0.875
49,0.312,-0.020,0.859
50,0.309,-0.016,0.859
51,0.312,-0.020,0.859
52,0.312,-0.027,0.852
53,0.305,-0.023,0.852
54,0.309,-0.023,0.859
55,0.309,-0.039,0.848
56,0.309,-0.023,0.867
57,0.312,-0.027,0.867
58,0.305,-0.027,0.863
59,0.312,-0.027,0.871
60,0.312,-0.027,0.867
61,0.312,-0.031,0.867
62,0.309,-0.023,0.867
63,0.312,-0.031,0.883
64,0.309,-0.043,0.863
65,0.305,-0.035,0.867
66,0.305,-0.035,0.859
67,0.309,-0.039,0.867
68,0.305,-0.039,0.871
69,0.301,-0.035,0.863
70,0.305,-0.020,0.879
71,0.309,-0.031,0.875
72,0.301,-0.031,0.871
73,0.305,-0.023,0.875
74,0.312,-0.023,0.871
75,0.305,-0.027,0.879
76,0.305,-0.031,0.883
77,0.309,-0.031,0.875
78,0.305,-0.027,0.871
79,0.305,-0.027,0.871
80,0.301,-0.035,0.883
81,0.305,-0.027,0.867
82,0.301,-0.023,0.871
83,0.305,-0.020,0.863
84,0.305,-0.023,0.867
85,0.305,-0.027,0.871
86,0.297,-0.020,0.871
87,0.301,-0.039,0.879
88,0.305,-0.035,0.867
89,0.297,-0.031,0.875
90,0.293,-0.031,0.871
91,0.305,-0.023,0.879
92,0.312,-0.031,0.875
93,0.309,-0.035,0.887
