Sample,X,Y,Z
0,0.016,-0.316,0.805
1,0.012,-0.340,0.859
2,0.012,-0.340,0.863
3,0.012,-0.336,0.867
4,0.012,-0.340,0.859
5,0.012,-0.340,0.867
6,0.016,-0.348,0.859
7,0.016,-0.336,0.871
8,0.012,-0.340,0.871
9,0.008,-0.336,0.875
10,0.008,-0.344,0.867
11,0.008,-0.336,0.867
12,0.012,-0.344,0.879
13,0.004,-0.344,0.879
14,0.012,-0.336,0.879
15,0.012,-0.344,0.867
16,0.008,-0.340,0.875
17,0.016,-0.344,0.867
18,0.012,-0.348,0.863
19,0.008,-0.340,0.867
20,0.008,-0.336,0.871
21,0.012,-0.336,0.867
22,0.016,-0.340,0.863
23,0.012,-0.340,0.875
24,0.008,-0.340,0.867
25,0.008,-0.348,0.867
26,0.008,-0.340,0.871
27,0.016,-0.336,0.871
28,0.016,-0.328,0.879
29,0.016,-0.340,0.871
30,0.008,-0.340,0.867
31,0.004,-0.344,0.879
32,0.012,-0.348,0.867
33,0.016,-0.340,0.867
34,0.012,-0.340,0.867
35,0.012,-0.336,0.867
36,0.012,-0.340,0.867
37,0.008,-0.344,0.863
38,0.016,-0.344,0.863
39,0.004,-0.336,0.867
40,0.012,-0.340,0.863
41,0.004,-0.332,0.859
42,0.012,-0.344,0.871
43,0.012,-0.336,0.859
44,0.020,-0.344,0.871
45,0.012,-0.348,0.863
46,0.008,-0.336,0.867
47,0.008,-0.336,0.863
48,0.004,-0.344,0.863
49,0.012,-0.336,0.867
50,0.008,-0.344,0.859
51,0.012,-0.344,0.852
52,0.012,-0.348,0.855
53,0.012,-0.352,0.855
54,0.008,-0.340,0.859
55,0.012,-0.336,0.855
56,0.016,-0.344,0.871
57,0.008,-0.348,0.867
58,0.008,-0.340,0.871
59,0.008,-0.340,0.867
60,0.008,-0.340,0.863
61,0.004,-0.340,0.879
62,0.008,-0.348,0.883
63,0.012,-0.336,0.891
64,0.012,-0.348,0.879
65,0.012,-0.336,0.875
66,0.008,-0.340,0.879
67,0.016,-0.336,0.887
68,0.008,-0.332,0.871
69,0.008,-0.336,0.875
70,0.016,-0.332,0.883
71,0.020,-0.344,0.879
72,0.012,-0.336,0.875
73,0.008,-0.348,0.875
74,0.016,-0.344,0.871
75,0.012,-0.348,0.875
76,0.016,-0.344,0.859
77,0.016,-0.336,0.875
78,0.012,-0.336,0.863
79,0.012,-0.344,0.871
80,0.008,-0.340,0.879
81,0.012,-0.340,0.867
82,0.016,-0.336,0.875
83,0.012,-0.340,0.867
84,0.004,-0.332,0.879
85,0.008,-0.336,0.871
86,0.016,-0.340,0.883
87,0.008,-0.340,0.867
88,0.008,-0.344,0.875
89,0.012,-0.340,0.863
90,0.012,-0.348,0.875
91,0.012,-0.328,0.879
92,0.016,-0.344,0.867
93,0.012,-0.348,0.859
94,0.008,-0.340,0.863
95,0.012,-0.340,0.852
96,0.016,-0.344,0.867
97,0.012,-0.344,0.863
98,0.020,-0.332,0.863
99,0.012,-0.340,0.867
100,0.020,-0.344,0.863
101,0.016,-0.344,0.863
102,0.012,-0.348,0.863
103,0.008,-0.332,0.867
104,0.016,-0.344,0.867
105,0.020,-0.332,0.871
106,0.012,-0.344,0.867
107,0.008,-0.344,0.875
108,0.016,-0.340,0.879
109,0.008,-0.340,0.875
110,0.008,-0.344,0.887
111,0.008,-0.344,0.875
112,0.023,-0.332,0.879
113,0.016,-0.340,0.867
114,0.008,-0.332,0.875
115,0.004,-0.340,0.867
116,0.008,-0.348,0.875
117,0.012,-0.340,0.875
118,0.008,-0.336,0.852
119,0.008,-0.336,0.852
120,0.008,-0.336,0.863
121,0.008,-0.344,0.855
122,0.008,-0.340,0.859
123,0.004,-0.336,0.867
124,0.004,-0.340,0.859
125,0.012,-0.340,0.875
126,0.012,-0.336,0.883
127,0.012,-0.344,0.879
128,0.004,-0.336,0.875
129,0.012,-0.344,0.871
130,0.012,-0.336,0.883
131,0.012,-0.340,0.883
132,0.016,-0.344,0.887
133,0.016,-0.332,0.883
134,0.008,-0.340,0.875
135,0.012,-0.336,0.879
136,0.008,-0.344,0.879
137,0.016,-0.340,0.875
138,0.016,-0.344,0.863
139,0.016,-0.340,0.871
140,0.012,-0.328,0.871
141,0.016,-0.332,0.855
142,0.012,-0.340,0.867
143,0.012,-0.332,0.867
144,0.008,-0.344,0.859
145,0.023,-0.352,0.867
146,0.012,-0.324,0.859
147,0.020,-0.336,0.875
148,0.008,-0.344,0.871
149,0.016,-0.348,0.867
150,0.012,-0.340,0.867
151,0.020,-0.348,0.871
152,0.012,-0.348,0.867
153,0.012,-0.344,0.871
154,0.008,-0.340,0.875
155,0.008,-0.340,0.863
156,0.012,-0.340,0.871
157,0.016,-0.340,0.867
158,0.016,-0.344,0.867
159,0.008,-0.344,0.871
160,0.012,-0.344,0.855
161,0.023,-0.336,0.875
162,0.016,-0.332,0.855
163,0.008,-0.352,0.859
164,0.012,-0.344,0.863
165,0.012,-0.336,0.859
166,0.012,-0.344,0.859
167,0.012,-0.344,0.855
168,0.016,-0.340,0.863
169,0.016,-0.344,0.855
170,0.008,-0.340,0.863
171,0.012,-0.344,0.852
172,0.000,-0.324,0.875
173,0.016,-0.336,0.871
174,0.012,-0.344,0.875
175,0.012,-0.332,0.879
176,0.008,-0.340,0.879
177,0.008,-0.336,0.879
178,0.008,-0.340,0.879
