Sample,X,Y,Z
227,0.008,0.035,0.914
228,0.008,0.031,0.922
229,0.004,0.031,0.918
230,0.016,0.031,0.918
231,0.012,0.031,0.926
232,0.012,0.031,0.930
233,0.012,0.035,0.922
234,0.004,0.035,0.922
235,0.012,0.027,0.914
236,0.000,0.031,0.926
237,0.008,0.031,0.918
238,0.012,0.043,0.914
239,0.008,0.031,0.922
240,0.008,0.031,0.918
241,0.008,0.027,0.914
242,0.000,0.039,0.918
243,0.008,0.031,0.926
244,0.004,0.035,0.918
245,0.008,0.043,0.914
246,0.012,0.031,0.922
247,0.004,0.039,0.922
248,0.004,0.039,0.918
249,0.004,0.035,0.922
250,0.004,0.035,0.934
251,0.004,0.027,0.926
252,0.004,0.043,0.914
253,0.004,0.027,0.930
254,0.004,0.027,0.926
255,0.004,0.031,0.906
256,0.000,0.047,0.910
257,0.012,0.031,0.918
258,0.004,0.031,0.922
259,0.004,0.047,0.918
260,0.000,0.031,0.918
261,0.008,0.035,0.930
262,0.004,0.035,0.926
263,0.012,0.027,0.914
264,0.012,0.027,0.926
265,0.008,0.031,0.910
266,0.004,0.043,0.926
267,0.008,0.035,0.922
268,0.000,0.031,0.918
269,0.004,0.031,0.922
270,0.004,0.035,0.926
271,0.000,0.031,0.922
272,0.008,0.035,0.922
273,0.016,0.043,0.930
274,0.004,0.027,0.922
275,0.008,0.035,0.918
276,0.016,0.031,0.922
277,0.008,0.035,0.922
278,0.016,0.027,0.926
279,0.016,0.023,0.914
280,0.012,0.039,0.922
281,0.004,0.035,0.922
282,0.000,0.039,0.914
283,0.000,0.031,0.914
284,0.008,0.027,0.930
285,0.008,0.035,0.914
286,0.012,0.035,0.926
287,0.012,0.035,0.926
288,0.004,0.035,0.930
289,0.004,0.035,0.922
290,0.008,0.027,0.910
291,0.000,0.035,0.922
292,0.008,0.039,0.930
293,0.004,0.035,0.922
294,0.012,0.043,0.910
295,0.008,0.031,0.918
296,0.008,0.035,0.930
297,0.008,0.031,0.914
298,0.004,0.039,0.922
299,0.008,0.031,0.922
300,0.004,0.031,0.930
301,0.016,0.047,0.926
302,0.008,0.039,0.926
303,0.012,0.035,0.922
304,0.004,0.039,0.918
305,0.008,0.035,0.918
306,0.012,0.035,0.922
307,0.008,0.031,0.922
308,0.008,0.035,0.906
309,0.004,0.031,0.930
310,0.004,0.039,0.926
311,0.008,0.047,0.922
312,0.008,0.027,0.926
313,0.008,0.035,0.926
314,0.000,0.039,0.926
315,0.000,0.039,0.922
316,0.008,0.035,0.922
317,0.012,0.031,0.914
318,0.008,0.035,0.918
319,0.008,0.031,0.918
320,0.000,0.027,0.918
321,0.008,0.035,0.918
322,0.016,0.031,0.922
323,0.004,0.039,0.918
324,0.004,0.043,0.922
325,0.004,0.027,0.914
326,0.004,0.031,0.918
327,0.008,0.027,0.918
328,0.008,0.035,0.926
329,0.004,0.047,0.918
330,0.000,0.043,0.926
331,0.000,0.031,0.926
332,0.000,0.043,0.926
333,0.004,0.031,0.918
334,0.008,0.031,0.926
335,0.000,0.031,0.922
336,0.008,0.039,0.930
337,0.000,0.043,0.926
338,0.000,0.039,0.918
339,0.000,0.035,0.926
340,0.008,0.035,0.906
341,0.004,0.031,0.918
342,0.004,0.023,0.926
343,0.004,0.039,0.918
344,0.000,0.035,0.918
345,0.004,0.027,0.918
346,0.000,0.027,0.910
347,0.004,0.031,0.918
348,0.000,0.035,0.918
349,0.004,0.027,0.922
350,0.008,0.035,0.930
351,0.008,0.039,0.922
352,0.008,0.031,0.914
353,0.000,0.039,0.922
354,0.000,0.023,0.934
355,0.000,0.035,0.918
356,0.008,0.027,0.922
357,0.008,0.039,0.926
358,0.004,0.039,0.918
359,0.004,0.035,0.918
360,0.012,0.020,0.918
361,0.004,0.039,0.922
362,0.004,0.035,0.926
363,0.008,0.035,0.930
364,0.008,0.039,0.914
365,0.008,0.031,0.918
366,0.008,0.035,0.922
367,0.004,0.035,0.922
368,0.012,0.027,0.918
369,0.012,0.031,0.922
370,0.008,0.035,0.914
371,0.012,0.035,0.922
372,0.008,0.035,0.918
373,0.008,0.035,0.934
374,0.008,0.031,0.918
375,0.008,0.035,0.926
376,0.012,0.031,0.926
377,0.012,0.035,0.930
378,0.008,0.043,0.918
379,0.012,0.031,0.918
380,0.008,0.031,0.910
381,0.012,0.035,0.910
382,0.012,0.023,0.902
383,0.008,0.031,0.914
384,0.004,0.039,0.926
385,0.020,0.035,0.918
386,0.016,0.031,0.922
387,0.008,0.031,0.918
388,0.004,0.027,0.926
389,0.008,0.039,0.930
390,0.008,0.023,0.918
391,0.008,0.035,0.918
392,0.012,0.039,0.926
393,0.008,0.027,0.926
394,0.008,0.035,0.918
395,0.004,0.035,0.926
396,0.004,0.035,0.926
397,0.012,0.027,0.926
398,0.004,0.035,0.922
399,0.008,0.043,0.922
400,0.012,0.031,0.914
401,0.012,0.039,0.922
402,0.008,0.039,0.918
403,0.012,0.035,0.922
404,0.008,0.035,0.926
405,0.004,0.039,0.930
406,0.008,0.035,0.910
407,0.004,0.035,0.922
408,0.008,0.035,0.922
409,0.008,0.031,0.910
410,0.012,0.043,0.914
411,0.004,0.043,0.918
412,0.008,0.039,0.918
413,0.004,0.043,0.918
414,0.004,0.039,0.926
415,0.008,0.031,0.918
416,0.008,0.031,0.926
417,0.008,0.031,0.922
418,0.000,0.035,0.922
419,0.000,0.027,0.918
420,0.004,0.039,0.922
421,0.004,0.035,0.918
422,0.000,0.031,0.922
423,0.000,0.031,0.922
424,0.004,0.031,0.926
425,0.000,0.035,0.926
426,0.000,0.031,0.926
427,0.008,0.047,0.918
428,0.000,0.027,0.918
429,0.000,0.031,0.918
430,0.008,0.035,0.918
431,0.000,0.035,0.926
432,0.000,0.031,0.922
433,0.004,0.031,0.918
434,0.004,0.035,0.918
435,0.004,0.031,0.918
436,0.000,0.027,0.918
437,0.000,0.031,0.930
438,0.000,0.035,0.922
439,0.000,0.039,0.914
440,0.000,0.035,0.922
441,0.004,0.039,0.930
442,0.004,0.031,0.926
443,0.004,0.035,0.910
444,0.008,0.039,0.918
445,0.004,0.031,0.914
446,0.008,0.027,0.926
447,0.004,0.031,0.918
448,0.008,0.043,0.926
449,0.008,0.039,0.918
450,0.012,0.027,0.918
451,0.016,0.035,0.922
452,0.016,0.027,0.914
453,0.012,0.035,0.918
454,0.012,0.031,0.914
455,0.020,0.035,0.914
456,0.012,0.035,0.910
457,0.016,0.031,0.922
